Borough-value,Borough-alias,Demographics-value,Demographics-alias,SUM(AtLeast1Dose)-alias,SUM(Fully Vax)-alias,AGG(Select indicator %)-alias
STATEN ISLAND,Staten Island,85andUp,85+,5473,4672,0.4717762294254266
STATEN ISLAND,Staten Island,75to84,75 to 84,16192,13928,0.6125159417740446
STATEN ISLAND,Staten Island,65to74,65 to 74,34640,29378,0.6296320109732314
STATEN ISLAND,Staten Island,55to64,55 to 64,40256,29486,0.4458793285951913
STATEN ISLAND,Staten Island,45to54,45 to 54,30616,19949,0.3108676681418687
STATEN ISLAND,Staten Island,35to44,35 to 44,23590,14749,0.2492479805319904
STATEN ISLAND,Staten Island,25to34,25 to 34,19996,11872,0.1834391755126007
STATEN ISLAND,Staten Island,18to24,18 to 24,10576,4764,0.1200845189486343
STATEN ISLAND,Staten Island,%all%,%all%,181339,128798,0.3451474402501444
QUEENS,Queens,85andUp,85+,25458,21042,0.4075916746728109
QUEENS,Queens,75to84,75 to 84,67751,56126,0.5114179023257912
QUEENS,Queens,65to74,65 to 74,144654,117763,0.5642004059694524
QUEENS,Queens,55to64,55 to 64,184780,126916,0.4205531270658921
QUEENS,Queens,45to54,45 to 54,159072,96497,0.320113962950166
QUEENS,Queens,35to44,35 to 44,146223,84085,0.272464308515388
QUEENS,Queens,25to34,25 to 34,140664,76977,0.2123514370525058
QUEENS,Queens,18to24,18 to 24,52593,23054,0.1319436896106862
QUEENS,Queens,%all%,%all%,921195,602460,0.3311749666026436
MANHATTAN,Manhattan,85andUp,85+,23611,20781,0.5217997424322668
MANHATTAN,Manhattan,75to84,75 to 84,62114,55693,0.6503298762477526
MANHATTAN,Manhattan,65to74,65 to 74,111552,98602,0.6671000386329003
MANHATTAN,Manhattan,55to64,55 to 64,123655,91667,0.504097081516142
MANHATTAN,Manhattan,45to54,45 to 54,115252,73413,0.3800489472082205
MANHATTAN,Manhattan,35to44,35 to 44,127543,74900,0.3229189539464706
MANHATTAN,Manhattan,25to34,25 to 34,187887,100840,0.2804715016421272
MANHATTAN,Manhattan,18to24,18 to 24,63989,28660,0.1990452525729109
MANHATTAN,Manhattan,%all%,%all%,815603,544556,0.3935354651278782
BROOKLYN,Brooklyn,85andUp,85+,20569,16486,0.3233817183209102
BROOKLYN,Brooklyn,75to84,75 to 84,57958,46871,0.4394389701952916
BROOKLYN,Brooklyn,65to74,65 to 74,126393,101297,0.4818091446564214
BROOKLYN,Brooklyn,55to64,55 to 64,145339,98674,0.3453339632876617
BROOKLYN,Brooklyn,45to54,45 to 54,133373,80302,0.2718728628210424
BROOKLYN,Brooklyn,35to44,35 to 44,151809,84921,0.2372187739185332
BROOKLYN,Brooklyn,25to34,25 to 34,181505,94087,0.2001676449501214
BROOKLYN,Brooklyn,18to24,18 to 24,49029,21206,0.1020364053618593
BROOKLYN,Brooklyn,%all%,%all%,865975,543844,0.2739989415874876
THE BRONX,Bronx,85andUp,85+,11877,10026,0.3768580600716251
THE BRONX,Bronx,75to84,75 to 84,34817,29261,0.5054530282860976
THE BRONX,Bronx,65to74,65 to 74,73126,60222,0.5715798665802714
THE BRONX,Bronx,55to64,55 to 64,98818,72041,0.4408011672288128
THE BRONX,Bronx,45to54,45 to 54,79883,53846,0.3095736247824164
THE BRONX,Bronx,35to44,35 to 44,61920,39638,0.2212065066076965
THE BRONX,Bronx,25to34,25 to 34,49844,30820,0.1358287002905904
THE BRONX,Bronx,18to24,18 to 24,23292,11652,0.0841557437191855
THE BRONX,Bronx,%all%,%all%,433577,307506,0.2869129812656193
%all%,%all%,85andUp,85+,86988,73007,0.4080016542042495
%all%,%all%,75to84,75 to 84,238832,201879,0.5275474485270604
%all%,%all%,65to74,65 to 74,490365,407262,0.5665899178486218
%all%,%all%,55to64,55 to 64,592848,418784,0.419234922052271
%all%,%all%,45to54,45 to 54,518196,324007,0.3151552349168894
%all%,%all%,35to44,35 to 44,511085,298293,0.262372614798409
%all%,%all%,25to34,25 to 34,579896,314596,0.2120349208296292
%all%,%all%,18to24,18 to 24,199479,89336,0.1267769246168741
%all%,%all%,%all%,%all%,3217689,2127164,0.320708860618149
